"id"	"name"	"address"	"city"	"phone"	"type"
851	"mel's drive-in"	"3355 geary st."	"san francisco"	"415-387-2244"	"hamburgers"
852	"mo's burgers"	"1322 grant st."	"san francisco"	"415-788-3779"	"hamburgers"
853	"phnom penh cambodian restaurant"	"631 larkin st."	"san francisco"	"415-775-5979"	"cambodian"
854	"roosevelt tamale parlor"	"2817 24th st."	"san francisco"	"415-550-9213"	"mexican"
855	"sally's cafe & bakery"	"300 de haro st."	"san francisco"	"415-626-6006"	"american"
856	"san francisco bbq"	"1328 18th st."	"san francisco"	"415-431-8956"	"thai"
857	"slanted door"	"584 valencia st."	"san francisco"	"415-861-8032"	"vietnamese"
858	"swan oyster depot"	"1517 polk st."	"san francisco"	"415-673-1101"	"seafood"
859	"thep phanom"	"400 waller st."	"san francisco"	"415-431-2526"	"thai"
860	"ti couz"	"3108 16th st."	"san francisco"	"415-252-7373"	"french"
861	"trio cafe"	"1870 fillmore st."	"san francisco"	"415-563-2248"	"american"
862	"tu lan"	"8 sixth st."	"san francisco"	"415-626-0927"	"vietnamese"
863	"vicolo pizzeria"	"201 ivy st."	"san francisco"	"415-863-2382"	"pizza"
864	"wa-ha-ka oaxaca mexican grill"	"2141 polk st."	"san francisco"	"415-775-1055"	"mexican"
